state,stfips
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
MA ,25
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
VT ,50
AZ ,4
CO ,8
CO ,8
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
NM ,35
LA ,22
LA ,22
LA ,22
LA ,22
MI ,26
MI ,26
NM ,35
NM ,35
NM ,35
NM ,35
OK ,40
OK ,40
OK ,40
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
AK ,2
AK ,2
AK ,2
AL ,1
AL ,1
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
NC ,37
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
CA ,6
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
MD ,24
ME ,23
ME ,23
ME ,23
ME ,23
ME ,23
ME ,23
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
LA ,22
MS ,28
MS ,28
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
OR ,41
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
WY ,56
WY ,56
MS ,28
MS ,28
MS ,28
MS ,28
NY ,36
NY ,36
NY ,36
NY ,36
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
AL ,1
VA ,51
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
ID ,16
OR ,41
OR ,41
MA ,25
MA ,25
MA ,25
MA ,25
MA ,25
MA ,25
MA ,25
MA ,25
MA ,25
NH ,33
NH ,33
NH ,33
NH ,33
NH ,33
NH ,33
VT ,50
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
NY ,36
PA ,42
PA ,42
NH ,33
NH ,33
NY ,36
NY ,36
NY ,36
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
VT ,50
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
MT ,30
WY ,56
WY ,56
WY ,56
WY ,56
WY ,56
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IN ,18
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
NC ,37
SC ,45
SC ,45
SC ,45
SC ,45
VA ,51
VA ,51
VA ,51
VA ,51
VA ,51
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
NC ,37
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
TN ,47
NE ,31
WY ,56
WY ,56
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IN ,18
IN ,18
IN ,18
IN ,18
IN ,18
CA ,6
CA ,6
CA ,6
CA ,6
CA ,6
CA ,6
IN ,18
IN ,18
IN ,18
IN ,18
IN ,18
IN ,18
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
KY ,21
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
WV ,54
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
MO ,29
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
SC ,45
AL ,1
AL ,1
AL ,1
AL ,1
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
GA ,13
AL ,1
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
MS ,28
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
TX ,48
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IL ,17
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IA ,19
IN ,18
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
OH ,39
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
CO ,8
NE ,31
NE ,31
NE ,31
NE ,31
NE ,31
NE ,31
NE ,31
WY ,56
WY ,56
WY ,56
WY ,56
