ctyfips,county,stfips,state,zip,cd,dma,dma name
1001,Autauga,,AL,36003,,698,MONTGOMERY
1001,Autauga,,AL,36006,,698,MONTGOMERY
1001,Autauga,,AL,36008,,698,MONTGOMERY
1001,Autauga,,AL,36051,,698,MONTGOMERY
1001,Autauga,,AL,36066,,698,MONTGOMERY
1001,Autauga,,AL,36067,,698,MONTGOMERY
1001,Autauga,,AL,36068,,698,MONTGOMERY
1001,Autauga,,AL,36749,,698,MONTGOMERY
1003,Baldwin,,AL,36507,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36511,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36526,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36527,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36530,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36532,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36533,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36535,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36536,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36542,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36547,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36549,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36550,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36551,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36555,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36559,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36561,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36562,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36564,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36567,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36574,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36576,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36577,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36578,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36579,,686,MOBILE-PENSACOLA
1003,Baldwin,,AL,36580,,686,MOBILE-PENSACOLA
1005,Barbour,,AL,36016,,522,"COLUMBUS, GA"
1005,Barbour,,AL,36017,,522,"COLUMBUS, GA"
1005,Barbour,,AL,36027,,522,"COLUMBUS, GA"
1005,Barbour,,AL,36048,,522,"COLUMBUS, GA"
1005,Barbour,,AL,36053,,522,"COLUMBUS, GA"
1005,Barbour,,AL,36072,,522,"COLUMBUS, GA"
1007,Bibb,,AL,35034,,630,BIRMINGHAM
